time,heightAboveGround,valid_time,u10,v10
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.2104516,0.9649292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.760452,0.0249292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.6595483,-0.4550708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.1095483,-0.3250708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.7995484,-0.1750708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.5095484,0.1649292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.2495484,0.5649292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.7295485,-0.5650708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.3795483,-0.6850708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.7395483,-1.3150707
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-0.52045166,-3.2150707
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.2504516,-3.7150707
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.3604517,0.0749292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.1304517,-0.015070801
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.9604516,-0.5550708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.5404518,-1.2650708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.5604517,-1.1750708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.2604516,-0.5250708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.1804516,-1.1150708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,0.28954834,-2.4550707
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.2304517,-2.5550709
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.0404516,-0.9450708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.5204517,-1.9250708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-0.42045167,-2.2150707
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.5904517,-0.5050708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.3004518,-2.275071
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.180452,-0.3650708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.030452,0.3549292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.4495484,-3.5050707
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.0404515,-4.0450706
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.430452,-3.1250708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.0604515,2.5449293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.990452,1.9849292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.6904516,1.0749292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.6504517,1.3049293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.9895483,-1.7350708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.3395483,-1.3150707
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.1695483,-0.5650708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.1095483,-0.5550708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.0795484,-1.0050708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.0495484,-0.6450708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.5095484,-0.8050708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.2095484,0.3449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.4695483,0.8449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-0.31045166,2.4949293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.490452,-0.3950708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.8104517,-1.0250708
